"human" "cell_type1"
"human3_lib2.final_cell_0332" 3 "beta"
"human3_lib2.final_cell_0333" 3 "ductal"
"human3_lib2.final_cell_0334" 3 "acinar"
"human3_lib2.final_cell_0335" 3 "beta"
"human3_lib2.final_cell_0336" 3 "beta"
"human3_lib2.final_cell_0337" 3 "alpha"
"human3_lib2.final_cell_0338" 3 "alpha"
"human3_lib2.final_cell_0339" 3 "beta"
"human3_lib2.final_cell_0340" 3 "ductal"
"human3_lib2.final_cell_0341" 3 "ductal"
"human3_lib2.final_cell_0342" 3 "beta"
"human3_lib2.final_cell_0343" 3 "ductal"
"human3_lib2.final_cell_0344" 3 "activated_stellate"
"human3_lib2.final_cell_0345" 3 "ductal"
"human3_lib2.final_cell_0346" 3 "beta"
"human3_lib2.final_cell_0347" 3 "beta"
"human3_lib2.final_cell_0348" 3 "alpha"
"human3_lib2.final_cell_0349" 3 "alpha"
"human3_lib2.final_cell_0350" 3 "alpha"
"human3_lib2.final_cell_0351" 3 "beta"
"human3_lib2.final_cell_0352" 3 "beta"
"human3_lib2.final_cell_0353" 3 "alpha"
"human3_lib2.final_cell_0354" 3 "beta"
"human3_lib2.final_cell_0355" 3 "beta"
"human3_lib2.final_cell_0356" 3 "alpha"
"human3_lib2.final_cell_0357" 3 "alpha"
"human3_lib2.final_cell_0358" 3 "beta"
"human3_lib2.final_cell_0359" 3 "acinar"
"human3_lib2.final_cell_0360" 3 "alpha"
"human3_lib2.final_cell_0361" 3 "beta"
"human3_lib2.final_cell_0362" 3 "alpha"
"human3_lib2.final_cell_0363" 3 "alpha"
"human3_lib2.final_cell_0364" 3 "alpha"
"human3_lib2.final_cell_0365" 3 "alpha"
"human3_lib2.final_cell_0366" 3 "beta"
"human3_lib2.final_cell_0367" 3 "beta"
"human3_lib2.final_cell_0368" 3 "activated_stellate"
"human3_lib2.final_cell_0369" 3 "beta"
"human3_lib2.final_cell_0370" 3 "activated_stellate"
"human3_lib2.final_cell_0371" 3 "beta"
"human3_lib2.final_cell_0372" 3 "alpha"
"human3_lib2.final_cell_0373" 3 "endothelial"
"human3_lib2.final_cell_0374" 3 "acinar"
"human3_lib2.final_cell_0375" 3 "ductal"
"human3_lib2.final_cell_0376" 3 "alpha"
"human3_lib2.final_cell_0377" 3 "alpha"
"human3_lib2.final_cell_0378" 3 "alpha"
"human3_lib2.final_cell_0379" 3 "ductal"
"human3_lib2.final_cell_0380" 3 "gamma"
"human3_lib2.final_cell_0381" 3 "beta"
"human3_lib2.final_cell_0382" 3 "beta"
"human3_lib2.final_cell_0383" 3 "ductal"
"human3_lib2.final_cell_0384" 3 "acinar"
"human3_lib2.final_cell_0385" 3 "alpha"
"human3_lib2.final_cell_0386" 3 "delta"
"human3_lib2.final_cell_0387" 3 "delta"
"human3_lib2.final_cell_0388" 3 "beta"
"human3_lib2.final_cell_0389" 3 "alpha"
"human3_lib2.final_cell_0390" 3 "beta"
"human3_lib2.final_cell_0391" 3 "ductal"
"human3_lib2.final_cell_0392" 3 "alpha"
"human3_lib2.final_cell_0393" 3 "alpha"
"human3_lib2.final_cell_0394" 3 "ductal"
"human3_lib2.final_cell_0395" 3 "alpha"
"human3_lib2.final_cell_0396" 3 "acinar"
"human3_lib2.final_cell_0397" 3 "alpha"
"human3_lib2.final_cell_0398" 3 "ductal"
"human3_lib2.final_cell_0399" 3 "ductal"
"human3_lib2.final_cell_0400" 3 "alpha"
"human3_lib2.final_cell_0401" 3 "alpha"
"human3_lib2.final_cell_0402" 3 "ductal"
"human3_lib2.final_cell_0403" 3 "acinar"
"human3_lib2.final_cell_0404" 3 "alpha"
"human3_lib2.final_cell_0405" 3 "alpha"
"human3_lib2.final_cell_0406" 3 "ductal"
"human3_lib2.final_cell_0407" 3 "alpha"
"human3_lib2.final_cell_0408" 3 "alpha"
"human3_lib2.final_cell_0409" 3 "ductal"
"human3_lib2.final_cell_0410" 3 "alpha"
"human3_lib2.final_cell_0411" 3 "acinar"
"human3_lib2.final_cell_0412" 3 "beta"
"human3_lib2.final_cell_0413" 3 "beta"
"human3_lib2.final_cell_0414" 3 "ductal"
"human3_lib2.final_cell_0415" 3 "alpha"
"human3_lib2.final_cell_0416" 3 "activated_stellate"
"human3_lib2.final_cell_0417" 3 "ductal"
"human3_lib2.final_cell_0418" 3 "beta"
"human3_lib2.final_cell_0419" 3 "beta"
"human3_lib2.final_cell_0420" 3 "alpha"
"human3_lib2.final_cell_0421" 3 "acinar"
"human3_lib2.final_cell_0422" 3 "beta"
"human3_lib2.final_cell_0423" 3 "alpha"
"human3_lib2.final_cell_0424" 3 "alpha"
"human3_lib2.final_cell_0425" 3 "alpha"
"human3_lib2.final_cell_0426" 3 "acinar"
"human3_lib2.final_cell_0427" 3 "alpha"
"human3_lib2.final_cell_0428" 3 "beta"
"human3_lib2.final_cell_0429" 3 "endothelial"
"human3_lib2.final_cell_0430" 3 "alpha"
"human3_lib2.final_cell_0431" 3 "alpha"
"human3_lib2.final_cell_0432" 3 "gamma"
"human3_lib2.final_cell_0433" 3 "alpha"
"human3_lib2.final_cell_0434" 3 "beta"
"human3_lib2.final_cell_0435" 3 "beta"
"human3_lib2.final_cell_0436" 3 "ductal"
"human3_lib2.final_cell_0437" 3 "delta"
"human3_lib2.final_cell_0438" 3 "beta"
"human3_lib2.final_cell_0439" 3 "beta"
"human3_lib2.final_cell_0440" 3 "alpha"
"human3_lib2.final_cell_0441" 3 "activated_stellate"
"human3_lib2.final_cell_0442" 3 "alpha"
"human3_lib2.final_cell_0443" 3 "beta"
"human3_lib2.final_cell_0444" 3 "alpha"
"human3_lib2.final_cell_0445" 3 "acinar"
"human3_lib2.final_cell_0446" 3 "alpha"
"human3_lib2.final_cell_0447" 3 "alpha"
"human3_lib2.final_cell_0448" 3 "alpha"
"human3_lib2.final_cell_0449" 3 "alpha"
"human3_lib2.final_cell_0450" 3 "beta"
"human3_lib2.final_cell_0451" 3 "alpha"
"human3_lib2.final_cell_0452" 3 "alpha"
"human3_lib2.final_cell_0453" 3 "acinar"
"human3_lib2.final_cell_0454" 3 "beta"
"human3_lib2.final_cell_0455" 3 "alpha"
"human3_lib2.final_cell_0456" 3 "alpha"
"human3_lib2.final_cell_0457" 3 "alpha"
"human3_lib2.final_cell_0458" 3 "ductal"
"human3_lib2.final_cell_0459" 3 "ductal"
"human3_lib2.final_cell_0460" 3 "ductal"
"human3_lib2.final_cell_0461" 3 "activated_stellate"
"human3_lib2.final_cell_0462" 3 "acinar"
"human3_lib2.final_cell_0463" 3 "alpha"
"human3_lib2.final_cell_0464" 3 "beta"
"human3_lib2.final_cell_0465" 3 "beta"
"human3_lib2.final_cell_0466" 3 "acinar"
"human3_lib2.final_cell_0467" 3 "alpha"
"human3_lib2.final_cell_0468" 3 "alpha"
"human3_lib2.final_cell_0469" 3 "acinar"
"human3_lib2.final_cell_0470" 3 "alpha"
"human3_lib2.final_cell_0471" 3 "alpha"
"human3_lib2.final_cell_0472" 3 "acinar"
"human3_lib2.final_cell_0473" 3 "acinar"
"human3_lib2.final_cell_0474" 3 "acinar"
"human3_lib2.final_cell_0475" 3 "delta"
"human3_lib2.final_cell_0476" 3 "ductal"
"human3_lib2.final_cell_0477" 3 "acinar"
"human3_lib2.final_cell_0478" 3 "alpha"
"human3_lib2.final_cell_0479" 3 "alpha"
"human3_lib2.final_cell_0480" 3 "alpha"
"human3_lib2.final_cell_0481" 3 "acinar"
"human3_lib2.final_cell_0482" 3 "alpha"
"human3_lib2.final_cell_0483" 3 "alpha"
"human3_lib2.final_cell_0484" 3 "alpha"
"human3_lib2.final_cell_0485" 3 "alpha"
"human3_lib2.final_cell_0486" 3 "acinar"
"human3_lib2.final_cell_0487" 3 "alpha"
"human3_lib2.final_cell_0488" 3 "alpha"
"human3_lib2.final_cell_0489" 3 "alpha"
"human3_lib2.final_cell_0490" 3 "beta"
"human3_lib2.final_cell_0491" 3 "acinar"
"human3_lib2.final_cell_0492" 3 "activated_stellate"
"human3_lib2.final_cell_0493" 3 "alpha"
"human3_lib2.final_cell_0494" 3 "quiescent_stellate"
"human3_lib2.final_cell_0495" 3 "alpha"
"human3_lib2.final_cell_0496" 3 "alpha"
"human3_lib2.final_cell_0497" 3 "acinar"
"human3_lib2.final_cell_0498" 3 "alpha"
"human3_lib2.final_cell_0499" 3 "beta"
"human3_lib2.final_cell_0500" 3 "alpha"
"human3_lib2.final_cell_0501" 3 "alpha"
"human3_lib2.final_cell_0502" 3 "ductal"
"human3_lib2.final_cell_0503" 3 "alpha"
"human3_lib2.final_cell_0504" 3 "ductal"
"human3_lib2.final_cell_0505" 3 "alpha"
"human3_lib2.final_cell_0506" 3 "acinar"
"human3_lib2.final_cell_0507" 3 "alpha"
"human3_lib2.final_cell_0508" 3 "beta"
"human3_lib2.final_cell_0509" 3 "alpha"
"human3_lib2.final_cell_0510" 3 "alpha"
"human3_lib2.final_cell_0511" 3 "beta"
"human3_lib2.final_cell_0512" 3 "beta"
"human3_lib2.final_cell_0513" 3 "alpha"
"human3_lib2.final_cell_0514" 3 "alpha"
"human3_lib2.final_cell_0515" 3 "alpha"
"human3_lib2.final_cell_0516" 3 "ductal"
"human3_lib2.final_cell_0517" 3 "alpha"
"human3_lib2.final_cell_0518" 3 "alpha"
"human3_lib2.final_cell_0519" 3 "alpha"
"human3_lib2.final_cell_0520" 3 "alpha"
"human3_lib2.final_cell_0521" 3 "alpha"
"human3_lib2.final_cell_0522" 3 "alpha"
"human3_lib2.final_cell_0523" 3 "beta"
"human3_lib2.final_cell_0524" 3 "beta"
"human3_lib2.final_cell_0525" 3 "alpha"
"human3_lib2.final_cell_0526" 3 "ductal"
"human3_lib2.final_cell_0527" 3 "ductal"
"human3_lib2.final_cell_0528" 3 "ductal"
"human3_lib2.final_cell_0529" 3 "beta"
"human3_lib2.final_cell_0530" 3 "endothelial"
"human3_lib2.final_cell_0531" 3 "alpha"
"human3_lib2.final_cell_0532" 3 "beta"
"human3_lib2.final_cell_0533" 3 "alpha"
"human3_lib2.final_cell_0534" 3 "beta"
"human3_lib2.final_cell_0535" 3 "alpha"
"human3_lib2.final_cell_0536" 3 "alpha"
"human3_lib2.final_cell_0537" 3 "alpha"
"human3_lib2.final_cell_0538" 3 "ductal"
"human3_lib2.final_cell_0539" 3 "beta"
"human3_lib2.final_cell_0540" 3 "activated_stellate"
"human3_lib2.final_cell_0541" 3 "alpha"
"human3_lib2.final_cell_0542" 3 "alpha"
"human3_lib2.final_cell_0543" 3 "alpha"
"human3_lib2.final_cell_0544" 3 "endothelial"
"human3_lib2.final_cell_0545" 3 "alpha"
"human3_lib2.final_cell_0546" 3 "beta"
"human3_lib2.final_cell_0547" 3 "acinar"
"human3_lib2.final_cell_0548" 3 "alpha"
"human3_lib2.final_cell_0549" 3 "ductal"
"human3_lib2.final_cell_0550" 3 "alpha"
"human3_lib2.final_cell_0551" 3 "alpha"
"human3_lib2.final_cell_0552" 3 "alpha"
"human3_lib2.final_cell_0553" 3 "beta"
"human3_lib2.final_cell_0554" 3 "alpha"
"human3_lib2.final_cell_0555" 3 "alpha"
"human3_lib2.final_cell_0556" 3 "alpha"
"human3_lib2.final_cell_0557" 3 "alpha"
"human3_lib2.final_cell_0558" 3 "quiescent_stellate"
"human3_lib2.final_cell_0559" 3 "alpha"
"human3_lib2.final_cell_0560" 3 "alpha"
"human3_lib2.final_cell_0561" 3 "alpha"
"human3_lib2.final_cell_0562" 3 "beta"
"human3_lib2.final_cell_0563" 3 "beta"
"human3_lib2.final_cell_0564" 3 "alpha"
"human3_lib2.final_cell_0565" 3 "alpha"
"human3_lib2.final_cell_0566" 3 "beta"
"human3_lib2.final_cell_0567" 3 "alpha"
"human3_lib2.final_cell_0568" 3 "alpha"
"human3_lib2.final_cell_0569" 3 "acinar"
"human3_lib2.final_cell_0570" 3 "ductal"
"human3_lib2.final_cell_0571" 3 "alpha"
"human3_lib2.final_cell_0572" 3 "alpha"
"human3_lib2.final_cell_0573" 3 "beta"
"human3_lib2.final_cell_0574" 3 "beta"
"human3_lib2.final_cell_0575" 3 "alpha"
"human3_lib2.final_cell_0576" 3 "acinar"
"human3_lib2.final_cell_0577" 3 "alpha"
"human3_lib2.final_cell_0578" 3 "alpha"
"human3_lib2.final_cell_0579" 3 "alpha"
"human3_lib2.final_cell_0580" 3 "macrophage"
"human3_lib2.final_cell_0581" 3 "beta"
"human3_lib2.final_cell_0582" 3 "beta"
"human3_lib2.final_cell_0583" 3 "alpha"
"human3_lib2.final_cell_0584" 3 "alpha"
"human3_lib2.final_cell_0585" 3 "ductal"
"human3_lib2.final_cell_0586" 3 "acinar"
"human3_lib2.final_cell_0587" 3 "alpha"
"human3_lib2.final_cell_0588" 3 "alpha"
"human3_lib2.final_cell_0589" 3 "alpha"
"human3_lib2.final_cell_0590" 3 "alpha"
"human3_lib2.final_cell_0591" 3 "alpha"
"human3_lib2.final_cell_0592" 3 "alpha"
"human3_lib2.final_cell_0593" 3 "activated_stellate"
"human3_lib2.final_cell_0594" 3 "beta"
"human3_lib2.final_cell_0595" 3 "alpha"
"human3_lib2.final_cell_0596" 3 "gamma"
"human3_lib2.final_cell_0597" 3 "alpha"
"human3_lib2.final_cell_0598" 3 "alpha"
"human3_lib2.final_cell_0599" 3 "ductal"
"human3_lib2.final_cell_0600" 3 "alpha"
"human3_lib2.final_cell_0601" 3 "alpha"
"human3_lib2.final_cell_0602" 3 "alpha"
"human3_lib2.final_cell_0603" 3 "alpha"
"human3_lib2.final_cell_0604" 3 "alpha"
"human3_lib2.final_cell_0605" 3 "quiescent_stellate"
"human3_lib2.final_cell_0606" 3 "ductal"
"human3_lib2.final_cell_0607" 3 "ductal"
"human3_lib2.final_cell_0608" 3 "acinar"
"human3_lib2.final_cell_0609" 3 "delta"
"human3_lib2.final_cell_0610" 3 "alpha"
"human3_lib2.final_cell_0611" 3 "ductal"
"human3_lib2.final_cell_0612" 3 "alpha"
"human3_lib2.final_cell_0613" 3 "alpha"
"human3_lib2.final_cell_0614" 3 "acinar"
"human3_lib2.final_cell_0615" 3 "delta"
"human3_lib2.final_cell_0616" 3 "acinar"
"human3_lib2.final_cell_0617" 3 "alpha"
"human3_lib2.final_cell_0618" 3 "alpha"
"human3_lib2.final_cell_0619" 3 "alpha"
"human3_lib2.final_cell_0620" 3 "acinar"
"human3_lib2.final_cell_0621" 3 "activated_stellate"
"human3_lib2.final_cell_0622" 3 "beta"
"human3_lib2.final_cell_0623" 3 "acinar"
"human3_lib2.final_cell_0624" 3 "beta"
"human3_lib2.final_cell_0625" 3 "alpha"
"human3_lib2.final_cell_0626" 3 "acinar"
"human3_lib2.final_cell_0627" 3 "beta"
"human3_lib2.final_cell_0628" 3 "alpha"
"human3_lib2.final_cell_0629" 3 "alpha"
"human3_lib2.final_cell_0630" 3 "ductal"
"human3_lib2.final_cell_0631" 3 "alpha"
"human3_lib2.final_cell_0632" 3 "ductal"
"human3_lib2.final_cell_0633" 3 "alpha"
"human3_lib2.final_cell_0634" 3 "alpha"
"human3_lib2.final_cell_0635" 3 "alpha"
"human3_lib2.final_cell_0636" 3 "acinar"
"human3_lib2.final_cell_0637" 3 "ductal"
"human3_lib2.final_cell_0638" 3 "acinar"
"human3_lib2.final_cell_0639" 3 "alpha"
"human3_lib2.final_cell_0640" 3 "delta"
"human3_lib2.final_cell_0641" 3 "alpha"
"human3_lib2.final_cell_0642" 3 "alpha"
"human3_lib2.final_cell_0643" 3 "acinar"
"human3_lib2.final_cell_0644" 3 "beta"
"human3_lib2.final_cell_0645" 3 "alpha"
"human3_lib2.final_cell_0646" 3 "acinar"
"human3_lib2.final_cell_0647" 3 "endothelial"
"human3_lib2.final_cell_0648" 3 "beta"
"human3_lib2.final_cell_0649" 3 "alpha"
"human3_lib2.final_cell_0650" 3 "activated_stellate"
"human3_lib2.final_cell_0651" 3 "activated_stellate"
"human3_lib2.final_cell_0652" 3 "acinar"
"human3_lib2.final_cell_0653" 3 "alpha"
"human3_lib2.final_cell_0654" 3 "alpha"
"human3_lib2.final_cell_0655" 3 "alpha"
"human3_lib2.final_cell_0656" 3 "alpha"
"human3_lib2.final_cell_0657" 3 "ductal"
"human3_lib2.final_cell_0658" 3 "alpha"
"human3_lib2.final_cell_0659" 3 "endothelial"
"human3_lib2.final_cell_0660" 3 "activated_stellate"
"human3_lib2.final_cell_0661" 3 "alpha"
"human3_lib2.final_cell_0662" 3 "alpha"
"human3_lib2.final_cell_0663" 3 "beta"
"human3_lib2.final_cell_0664" 3 "alpha"
"human3_lib2.final_cell_0665" 3 "beta"
"human3_lib2.final_cell_0666" 3 "alpha"
"human3_lib2.final_cell_0667" 3 "beta"
"human3_lib2.final_cell_0668" 3 "quiescent_stellate"
"human3_lib2.final_cell_0669" 3 "alpha"
"human3_lib2.final_cell_0670" 3 "ductal"
"human3_lib2.final_cell_0671" 3 "acinar"
"human3_lib2.final_cell_0672" 3 "beta"
"human3_lib2.final_cell_0673" 3 "mast"
"human3_lib2.final_cell_0674" 3 "acinar"
"human3_lib2.final_cell_0675" 3 "acinar"
"human3_lib2.final_cell_0676" 3 "beta"
"human3_lib2.final_cell_0677" 3 "beta"
"human3_lib2.final_cell_0678" 3 "beta"
"human3_lib2.final_cell_0679" 3 "alpha"
"human3_lib2.final_cell_0680" 3 "alpha"
"human3_lib2.final_cell_0681" 3 "activated_stellate"
"human3_lib2.final_cell_0682" 3 "alpha"
"human3_lib2.final_cell_0683" 3 "alpha"
"human3_lib2.final_cell_0684" 3 "acinar"
"human3_lib2.final_cell_0685" 3 "acinar"
"human3_lib2.final_cell_0686" 3 "ductal"
"human3_lib2.final_cell_0687" 3 "beta"
"human3_lib2.final_cell_0688" 3 "alpha"
"human3_lib2.final_cell_0689" 3 "acinar"
"human3_lib2.final_cell_0690" 3 "ductal"
"human3_lib2.final_cell_0691" 3 "beta"
"human3_lib2.final_cell_0692" 3 "alpha"
"human3_lib2.final_cell_0693" 3 "ductal"
"human3_lib2.final_cell_0694" 3 "alpha"
"human3_lib2.final_cell_0695" 3 "ductal"
"human3_lib2.final_cell_0696" 3 "alpha"
"human3_lib2.final_cell_0697" 3 "activated_stellate"
"human3_lib2.final_cell_0698" 3 "ductal"
"human3_lib2.final_cell_0699" 3 "beta"
"human3_lib2.final_cell_0700" 3 "alpha"
"human3_lib2.final_cell_0701" 3 "quiescent_stellate"
"human3_lib2.final_cell_0702" 3 "delta"
"human3_lib2.final_cell_0703" 3 "beta"
"human3_lib2.final_cell_0704" 3 "alpha"
"human3_lib2.final_cell_0705" 3 "ductal"
"human3_lib2.final_cell_0706" 3 "alpha"
"human3_lib2.final_cell_0707" 3 "alpha"
"human3_lib2.final_cell_0708" 3 "beta"
"human3_lib2.final_cell_0709" 3 "alpha"
"human3_lib2.final_cell_0710" 3 "acinar"
"human3_lib2.final_cell_0711" 3 "alpha"
"human3_lib2.final_cell_0712" 3 "quiescent_stellate"
"human3_lib2.final_cell_0713" 3 "ductal"
"human3_lib2.final_cell_0714" 3 "alpha"
"human3_lib2.final_cell_0715" 3 "ductal"
"human3_lib2.final_cell_0716" 3 "activated_stellate"
"human3_lib2.final_cell_0717" 3 "alpha"
"human3_lib2.final_cell_0718" 3 "beta"
"human3_lib2.final_cell_0719" 3 "alpha"
"human3_lib2.final_cell_0720" 3 "acinar"
"human3_lib2.final_cell_0721" 3 "acinar"
"human3_lib2.final_cell_0722" 3 "alpha"
"human3_lib2.final_cell_0723" 3 "alpha"
"human3_lib2.final_cell_0724" 3 "alpha"
"human3_lib2.final_cell_0725" 3 "ductal"
"human3_lib2.final_cell_0726" 3 "beta"
"human3_lib2.final_cell_0727" 3 "alpha"
"human3_lib2.final_cell_0728" 3 "acinar"
"human3_lib2.final_cell_0729" 3 "activated_stellate"
"human3_lib2.final_cell_0730" 3 "alpha"
"human3_lib2.final_cell_0731" 3 "beta"
"human3_lib2.final_cell_0732" 3 "alpha"
"human3_lib2.final_cell_0733" 3 "beta"
"human3_lib2.final_cell_0734" 3 "beta"
"human3_lib2.final_cell_0735" 3 "beta"
"human3_lib2.final_cell_0736" 3 "alpha"
"human3_lib2.final_cell_0737" 3 "macrophage"
"human3_lib2.final_cell_0738" 3 "ductal"
"human3_lib2.final_cell_0739" 3 "alpha"
"human3_lib2.final_cell_0740" 3 "beta"
"human3_lib2.final_cell_0741" 3 "alpha"
"human3_lib2.final_cell_0742" 3 "beta"
"human3_lib2.final_cell_0743" 3 "ductal"
"human3_lib2.final_cell_0744" 3 "alpha"
"human3_lib2.final_cell_0745" 3 "alpha"
"human3_lib2.final_cell_0746" 3 "alpha"
"human3_lib2.final_cell_0747" 3 "alpha"
"human3_lib2.final_cell_0748" 3 "alpha"
"human3_lib2.final_cell_0749" 3 "beta"
"human3_lib2.final_cell_0750" 3 "alpha"
"human3_lib2.final_cell_0751" 3 "beta"
"human3_lib2.final_cell_0752" 3 "ductal"
"human3_lib2.final_cell_0753" 3 "ductal"
"human3_lib2.final_cell_0754" 3 "ductal"
"human3_lib2.final_cell_0755" 3 "alpha"
"human3_lib2.final_cell_0756" 3 "ductal"
"human3_lib2.final_cell_0757" 3 "activated_stellate"
"human3_lib2.final_cell_0758" 3 "alpha"
"human3_lib2.final_cell_0759" 3 "beta"
"human3_lib2.final_cell_0760" 3 "activated_stellate"
"human3_lib2.final_cell_0761" 3 "alpha"
"human3_lib2.final_cell_0762" 3 "acinar"
"human3_lib2.final_cell_0763" 3 "acinar"
"human3_lib2.final_cell_0764" 3 "alpha"
"human3_lib2.final_cell_0765" 3 "delta"
"human3_lib2.final_cell_0766" 3 "endothelial"
"human3_lib2.final_cell_0767" 3 "quiescent_stellate"
"human3_lib2.final_cell_0768" 3 "beta"
"human3_lib2.final_cell_0769" 3 "beta"
"human3_lib2.final_cell_0770" 3 "alpha"
"human3_lib2.final_cell_0771" 3 "activated_stellate"
"human3_lib2.final_cell_0772" 3 "alpha"
"human3_lib2.final_cell_0773" 3 "beta"
"human3_lib2.final_cell_0774" 3 "acinar"
"human3_lib2.final_cell_0775" 3 "alpha"
"human3_lib2.final_cell_0776" 3 "delta"
"human3_lib2.final_cell_0777" 3 "acinar"
"human3_lib2.final_cell_0778" 3 "quiescent_stellate"
"human3_lib2.final_cell_0779" 3 "beta"
"human3_lib2.final_cell_0780" 3 "alpha"
"human3_lib2.final_cell_0781" 3 "alpha"
"human3_lib2.final_cell_0782" 3 "ductal"
"human3_lib2.final_cell_0783" 3 "alpha"
"human3_lib2.final_cell_0784" 3 "alpha"
"human3_lib2.final_cell_0785" 3 "alpha"
"human3_lib2.final_cell_0786" 3 "alpha"
"human3_lib2.final_cell_0787" 3 "alpha"
"human3_lib2.final_cell_0788" 3 "gamma"
"human3_lib2.final_cell_0789" 3 "alpha"
"human3_lib2.final_cell_0790" 3 "beta"
"human3_lib2.final_cell_0791" 3 "beta"
"human3_lib2.final_cell_0792" 3 "delta"
"human3_lib2.final_cell_0793" 3 "alpha"
"human3_lib2.final_cell_0794" 3 "activated_stellate"
"human3_lib2.final_cell_0795" 3 "alpha"
"human3_lib2.final_cell_0796" 3 "quiescent_stellate"
"human3_lib2.final_cell_0797" 3 "beta"
"human3_lib2.final_cell_0798" 3 "mast"
"human3_lib2.final_cell_0799" 3 "alpha"
"human3_lib2.final_cell_0800" 3 "acinar"
"human3_lib2.final_cell_0801" 3 "alpha"
"human3_lib2.final_cell_0802" 3 "alpha"
"human3_lib2.final_cell_0803" 3 "endothelial"
"human3_lib2.final_cell_0804" 3 "beta"
"human3_lib2.final_cell_0805" 3 "macrophage"
"human3_lib2.final_cell_0806" 3 "ductal"
"human3_lib2.final_cell_0807" 3 "beta"
"human3_lib2.final_cell_0808" 3 "beta"
"human3_lib2.final_cell_0809" 3 "beta"
"human3_lib2.final_cell_0810" 3 "alpha"
"human3_lib2.final_cell_0811" 3 "beta"
"human3_lib2.final_cell_0812" 3 "alpha"
"human3_lib2.final_cell_0813" 3 "mast"
"human3_lib2.final_cell_0814" 3 "alpha"
"human3_lib2.final_cell_0815" 3 "alpha"
"human3_lib2.final_cell_0816" 3 "beta"
"human3_lib2.final_cell_0817" 3 "endothelial"
"human3_lib2.final_cell_0818" 3 "acinar"
"human3_lib2.final_cell_0819" 3 "endothelial"
"human3_lib2.final_cell_0820" 3 "beta"
"human3_lib2.final_cell_0821" 3 "beta"
"human3_lib2.final_cell_0822" 3 "alpha"
"human3_lib2.final_cell_0823" 3 "quiescent_stellate"
"human3_lib2.final_cell_0824" 3 "ductal"
"human3_lib2.final_cell_0825" 3 "ductal"
"human3_lib2.final_cell_0826" 3 "beta"
"human3_lib2.final_cell_0827" 3 "beta"
"human3_lib2.final_cell_0828" 3 "alpha"
"human3_lib2.final_cell_0829" 3 "beta"
"human3_lib2.final_cell_0830" 3 "beta"
"human3_lib2.final_cell_0831" 3 "beta"
"human3_lib2.final_cell_0832" 3 "quiescent_stellate"
"human3_lib2.final_cell_0833" 3 "quiescent_stellate"
"human3_lib2.final_cell_0834" 3 "beta"
"human3_lib2.final_cell_0835" 3 "alpha"
"human3_lib2.final_cell_0836" 3 "delta"
"human3_lib2.final_cell_0837" 3 "alpha"
"human3_lib2.final_cell_0838" 3 "ductal"
"human3_lib2.final_cell_0839" 3 "acinar"
"human3_lib2.final_cell_0840" 3 "alpha"
"human3_lib2.final_cell_0841" 3 "alpha"
"human3_lib2.final_cell_0842" 3 "alpha"
"human3_lib2.final_cell_0843" 3 "quiescent_stellate"
"human3_lib2.final_cell_0844" 3 "alpha"
"human3_lib2.final_cell_0845" 3 "beta"
"human3_lib2.final_cell_0846" 3 "endothelial"
"human3_lib2.final_cell_0847" 3 "activated_stellate"
"human3_lib2.final_cell_0848" 3 "alpha"
"human3_lib2.final_cell_0849" 3 "alpha"
"human3_lib2.final_cell_0850" 3 "beta"
"human3_lib2.final_cell_0851" 3 "alpha"
"human3_lib2.final_cell_0852" 3 "beta"
"human3_lib2.final_cell_0853" 3 "beta"
"human3_lib2.final_cell_0854" 3 "alpha"
"human3_lib2.final_cell_0855" 3 "ductal"
"human3_lib2.final_cell_0856" 3 "endothelial"
"human3_lib2.final_cell_0857" 3 "endothelial"
"human3_lib2.final_cell_0858" 3 "endothelial"
"human3_lib2.final_cell_0859" 3 "beta"
"human3_lib2.final_cell_0860" 3 "beta"
"human3_lib2.final_cell_0861" 3 "quiescent_stellate"
"human3_lib2.final_cell_0862" 3 "beta"
"human3_lib2.final_cell_0863" 3 "beta"
"human3_lib2.final_cell_0864" 3 "beta"
"human3_lib2.final_cell_0865" 3 "beta"
"human3_lib2.final_cell_0866" 3 "ductal"
"human3_lib2.final_cell_0867" 3 "beta"
"human3_lib2.final_cell_0868" 3 "ductal"
"human3_lib2.final_cell_0869" 3 "endothelial"
"human3_lib2.final_cell_0870" 3 "endothelial"
"human3_lib2.final_cell_0871" 3 "alpha"
"human3_lib2.final_cell_0872" 3 "beta"
"human3_lib2.final_cell_0873" 3 "activated_stellate"
"human3_lib2.final_cell_0874" 3 "beta"
"human3_lib2.final_cell_0875" 3 "alpha"
"human3_lib3.final_cell_0001" 3 "acinar"
"human3_lib3.final_cell_0002" 3 "acinar"
"human3_lib3.final_cell_0003" 3 "acinar"
"human3_lib3.final_cell_0004" 3 "acinar"
"human3_lib3.final_cell_0005" 3 "acinar"
"human3_lib3.final_cell_0006" 3 "acinar"
"human3_lib3.final_cell_0007" 3 "acinar"
"human3_lib3.final_cell_0008" 3 "acinar"
"human3_lib3.final_cell_0009" 3 "acinar"
"human3_lib3.final_cell_0010" 3 "acinar"
"human3_lib3.final_cell_0011" 3 "acinar"
"human3_lib3.final_cell_0012" 3 "acinar"
"human3_lib3.final_cell_0013" 3 "acinar"
"human3_lib3.final_cell_0014" 3 "acinar"
